t	TP1 [ºC]	TP2 [ºC]	TP3 [ºC]	TP5 [ºC]	TP6 [ºC]	TP7 [ºC]	TP8 [ºC]	TP10 [ºC]	TP11 [ºC]	TP12 [ºC]	TP13 [ºC]	TP15 [ºC]
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
1,000	98999999999999993400000000000000000000,000	-21,636	2,457E+1	2,486E+1	2,486E+1	2,448E+1	2,950E+1	2,962E+1	2,481E+1	2,582E+1	2,695E+1	2,419E+1
2,000	1151,774	41,837	2,455E+1	2,487E+1	2,481E+1	2,449E+1	2,952E+1	2,960E+1	2,481E+1	2,584E+1	2,695E+1	2,418E+1
3,000	888,082	178,393	2,453E+1	2,489E+1	2,485E+1	2,446E+1	2,955E+1	2,963E+1	2,477E+1	2,587E+1	2,696E+1	2,418E+1
4,000	20,844	83,511	2,453E+1	2,489E+1	2,484E+1	2,445E+1	2,953E+1	2,963E+1	2,476E+1	2,584E+1	2,696E+1	2,418E+1
5,000	1109,816	100,071	2,454E+1	2,487E+1	2,484E+1	2,447E+1	2,953E+1	2,962E+1	2,477E+1	2,585E+1	2,697E+1	2,418E+1
6,000	98999999999999993400000000000000000000,000	150,198	2,452E+1	2,488E+1	2,484E+1	2,446E+1	2,952E+1	2,963E+1	2,478E+1	2,584E+1	2,695E+1	2,418E+1
7,000	1158,340	106,217	2,454E+1	2,489E+1	2,485E+1	2,446E+1	2,954E+1	2,963E+1	2,476E+1	2,585E+1	2,695E+1	2,416E+1
8,000	98999999999999993400000000000000000000,000	225,855	2,453E+1	2,487E+1	2,486E+1	2,445E+1	2,953E+1	2,964E+1	2,476E+1	2,584E+1	2,697E+1	2,417E+1
9,000	894,965	191,999	2,452E+1	2,488E+1	2,486E+1	2,445E+1	2,953E+1	2,965E+1	2,476E+1	2,586E+1	2,696E+1	2,418E+1
10,000	1101,459	117,967	2,453E+1	2,487E+1	2,486E+1	2,445E+1	2,952E+1	2,966E+1	2,476E+1	2,585E+1	2,694E+1	2,418E+1
11,000	1130,319	142,429	2,453E+1	2,488E+1	2,486E+1	2,444E+1	2,953E+1	2,967E+1	2,476E+1	2,586E+1	2,696E+1	2,419E+1
12,000	1062,514	173,569	2,454E+1	2,489E+1	2,484E+1	2,446E+1	2,951E+1	2,967E+1	2,476E+1	2,586E+1	2,696E+1	2,418E+1
13,000	860,055	154,162	2,453E+1	2,487E+1	2,487E+1	2,444E+1	2,952E+1	2,967E+1	2,475E+1	2,587E+1	2,695E+1	2,419E+1
14,001	1020,194	91,294	2,455E+1	2,488E+1	2,487E+1	2,446E+1	2,952E+1	2,968E+1	2,476E+1	2,585E+1	2,695E+1	2,418E+1
15,001	844,911	177,445	2,454E+1	2,490E+1	2,488E+1	2,445E+1	2,952E+1	2,966E+1	2,476E+1	2,587E+1	2,696E+1	2,418E+1
