Time [s]	PV [ºC]	SP [ºC]	Duty Cycle 
0,000	0,000	25,000	9,990E+1
1,000	21,101	25,000	1,000E-2
2,000	21,097	25,000	3,445E-1
3,000	21,084	25,000	1,056E+0
4,000	21,059	25,000	2,183E+0
5,000	21,047	25,000	2,857E+0
6,000	21,029	25,000	3,768E+0
7,001	21,017	25,000	4,423E+0
8,001	21,014	25,000	4,682E+0
9,001	21,011	25,000	5,021E+0
10,001	21,008	25,000	5,320E+0
11,001	21,007	25,000	5,520E+0
12,001	21,011	25,000	5,522E+0
13,001	21,020	25,000	5,345E+0
14,001	21,030	25,000	5,148E+0
15,001	21,040	25,000	4,931E+0
16,001	21,041	25,000	5,071E+0
17,001	21,049	25,000	4,932E+0
18,001	21,059	25,000	4,715E+0
19,002	21,053	25,000	5,130E+0
20,002	21,041	25,000	5,784E+0
21,002	21,037	25,000	6,121E+0
22,002	21,026	25,000	6,736E+0
23,002	21,016	25,000	7,312E+0
24,002	21,014	25,000	7,551E+0
25,002	21,024	25,000	7,354E+0
26,002	21,043	25,000	6,781E+0
27,002	21,050	25,000	6,682E+0
28,002	21,054	25,000	6,702E+0
29,002	21,060	25,000	6,643E+0
30,002	21,069	25,000	6,444E+0
31,002	21,075	25,000	6,404E+0
32,002	21,090	25,000	6,007E+0
33,002	21,114	25,000	5,193E+0
34,003	21,120	25,000	5,170E+0
35,003	21,137	25,000	4,671E+0
36,003	21,145	25,000	4,509E+0
37,003	21,160	25,000	4,089E+0
38,003	21,179	25,000	3,509E+0
39,015	21,184	25,000	3,464E+0
40,015	21,189	25,000	3,438E+0
41,016	21,191	25,000	3,551E+0
42,016	21,193	25,000	3,644E+0
43,016	21,191	25,000	3,875E+0
44,016	21,188	25,000	4,186E+0
45,016	21,174	25,000	4,912E+0
46,016	21,171	25,000	5,224E+0
47,016	21,162	25,000	5,753E+0
48,016	21,149	25,000	6,422E+0
49,016	21,143	25,000	6,814E+0
50,016	21,153	25,000	6,612E+0
51,016	21,163	25,000	6,409E+0
52,016	21,170	25,000	6,265E+0
53,016	21,181	25,000	6,042E+0
54,016	21,212	25,000	4,986E+0
55,016	21,228	25,000	4,503E+0
56,017	21,230	25,000	4,614E+0
57,017	21,242	25,000	4,269E+0
58,017	21,238	25,000	4,617E+0
59,017	21,241	25,000	4,668E+0
60,017	21,229	25,000	5,333E+0
61,017	21,220	25,000	5,860E+0
62,017	21,218	25,000	6,090E+0
63,017	21,206	25,000	6,736E+0
64,017	21,209	25,000	6,789E+0
65,017	21,218	25,000	6,603E+0
66,018	21,220	25,000	6,695E+0
67,018	21,236	25,000	6,252E+0
68,018	21,240	25,000	6,223E+0
69,018	21,233	25,000	6,671E+0
70,018	21,234	25,000	6,821E+0
71,018	21,235	25,000	6,951E+0
72,018	21,235	25,000	7,121E+0
73,018	21,215	25,000	8,084E+0
74,018	21,203	25,000	8,750E+0
75,018	21,194	25,000	9,278E+0
76,018	21,183	25,000	9,866E+0
77,018	21,173	25,000	1,041E+1
78,018	21,168	25,000	1,081E+1
79,018	21,178	25,000	1,060E+1
80,018	21,184	25,000	1,054E+1
81,018	21,187	25,000	1,057E+1
82,018	21,192	25,000	1,054E+1
83,018	21,201	25,000	1,036E+1
84,018	21,199	25,000	1,061E+1
85,018	21,200	25,000	1,074E+1
86,018	21,197	25,000	1,101E+1
87,019	21,198	25,000	1,117E+1
88,019	21,198	25,000	1,132E+1
89,019	21,183	25,000	1,212E+1
90,019	21,175	25,000	1,259E+1
91,019	21,160	25,000	1,336E+1
92,019	21,146	25,000	1,409E+1
93,019	21,129	25,000	1,494E+1
94,019	21,118	25,000	1,555E+1
95,019	21,110	25,000	1,604E+1
96,019	21,113	25,000	1,611E+1
97,019	21,112	25,000	1,629E+1
98,019	21,113	25,000	1,647E+1
99,019	21,112	25,000	1,666E+1
100,019	21,114	25,000	1,678E+1
101,019	21,120	25,000	1,668E+1
102,019	21,116	25,000	1,703E+1
103,019	21,126	25,000	1,683E+1
104,019	21,137	25,000	1,655E+1
105,019	21,144	25,000	1,644E+1
106,019	21,133	25,000	1,705E+1
107,031	21,128	25,000	1,745E+1
108,031	21,134	25,000	1,734E+1
109,031	21,138	25,000	1,738E+1
110,032	21,145	25,000	1,730E+1
111,032	21,159	25,000	1,692E+1
112,032	21,155	25,000	1,721E+1
113,032	21,160	25,000	1,722E+1
114,032	21,160	25,000	1,740E+1
115,032	21,151	25,000	1,791E+1
116,032	21,161	25,000	1,768E+1
117,032	21,175	25,000	1,730E+1
118,032	21,183	25,000	1,716E+1
119,032	21,184	25,000	1,729E+1
120,033	21,197	25,000	1,695E+1
121,033	21,196	25,000	1,716E+1
122,033	21,184	25,000	1,779E+1
123,033	21,185	25,000	1,794E+1
124,033	21,180	25,000	1,831E+1
125,033	21,169	25,000	1,892E+1
126,033	21,159	25,000	1,949E+1
127,033	21,166	25,000	1,940E+1
128,033	21,175	25,000	1,920E+1
129,033	21,178	25,000	1,925E+1
130,033	21,188	25,000	1,901E+1
131,034	21,202	25,000	1,865E+1
132,034	21,191	25,000	1,926E+1
133,035	21,194	25,000	1,933E+1
134,035	21,209	25,000	1,887E+1
135,035	21,209	25,000	1,908E+1
136,035	21,223	25,000	1,867E+1
137,035	21,239	25,000	1,819E+1
138,035	21,260	25,000	1,755E+1
139,035	21,266	25,000	1,748E+1
140,035	21,265	25,000	1,769E+1
