Time [s]	PC(E)[W]	PL(E)[W]	PC(T)[W]	PL(T)[W]
0,000	0,000	0,000	0,000E+0	0,000E+0
0,002	0,000	0,000	0,000E+0	0,000E+0
0,202	0,000	0,000	0,000E+0	0,000E+0
0,401	0,000	0,000	0,000E+0	0,000E+0
0,602	0,000	0,000	0,000E+0	0,000E+0
0,802	0,000	0,000	0,000E+0	0,000E+0
1,003	0,000	0,000	0,000E+0	0,000E+0
1,205	0,000	0,000	0,000E+0	0,000E+0
1,405	0,000	0,000	0,000E+0	0,000E+0
1,605	0,000	0,000	0,000E+0	0,000E+0
1,805	0,000	0,000	0,000E+0	0,000E+0
2,006	0,000	0,000	0,000E+0	0,000E+0
2,207	0,000	0,000	0,000E+0	0,000E+0
2,408	0,000	0,000	0,000E+0	0,000E+0
2,609	0,000	0,000	0,000E+0	0,000E+0
2,809	0,000	0,000	0,000E+0	0,000E+0
3,009	0,000	0,000	0,000E+0	0,000E+0
3,210	0,000	0,000	0,000E+0	0,000E+0
3,409	0,000	0,000	0,000E+0	0,000E+0
3,610	0,000	0,000	0,000E+0	0,000E+0
3,810	0,000	0,000	0,000E+0	0,000E+0
4,009	0,000	0,000	0,000E+0	0,000E+0
4,210	0,000	0,000	0,000E+0	0,000E+0
4,411	0,000	0,000	0,000E+0	0,000E+0
4,612	0,000	0,000	0,000E+0	0,000E+0
4,813	0,000	0,000	0,000E+0	0,000E+0
5,013	0,000	0,000	0,000E+0	0,000E+0
5,214	0,000	0,000	0,000E+0	0,000E+0
5,415	0,000	0,000	0,000E+0	0,000E+0
5,615	0,000	0,000	0,000E+0	0,000E+0
5,815	0,000	0,000	0,000E+0	0,000E+0
6,015	0,000	0,000	0,000E+0	0,000E+0
6,215	0,000	0,000	0,000E+0	0,000E+0
6,415	0,000	0,000	0,000E+0	0,000E+0
6,616	0,000	0,000	0,000E+0	0,000E+0
6,816	0,000	0,000	0,000E+0	0,000E+0
7,016	0,000	0,000	0,000E+0	0,000E+0
7,216	0,000	0,000	0,000E+0	0,000E+0
7,417	0,000	0,000	0,000E+0	0,000E+0
7,617	0,000	0,000	0,000E+0	0,000E+0
7,818	0,000	0,000	0,000E+0	0,000E+0
8,018	0,000	0,000	0,000E+0	0,000E+0
8,219	0,000	0,000	0,000E+0	0,000E+0
8,419	0,000	0,000	0,000E+0	0,000E+0
8,620	0,000	0,000	0,000E+0	0,000E+0
8,821	0,000	0,000	0,000E+0	0,000E+0
9,021	0,000	0,000	0,000E+0	0,000E+0
9,222	0,000	0,000	0,000E+0	0,000E+0
9,421	0,000	0,000	0,000E+0	0,000E+0
9,622	0,000	0,000	0,000E+0	0,000E+0
9,822	0,000	0,000	0,000E+0	0,000E+0
10,022	0,000	0,000	0,000E+0	0,000E+0
10,224	0,000	0,000	0,000E+0	0,000E+0
10,424	0,000	0,000	0,000E+0	0,000E+0
10,625	0,000	0,000	0,000E+0	0,000E+0
10,825	0,000	0,000	0,000E+0	0,000E+0
11,025	0,000	0,000	0,000E+0	0,000E+0
11,225	0,000	0,000	0,000E+0	0,000E+0
11,425	0,000	0,000	0,000E+0	0,000E+0
11,625	0,000	0,000	0,000E+0	0,000E+0
11,825	0,000	0,000	0,000E+0	0,000E+0
12,026	0,000	0,000	0,000E+0	0,000E+0
12,226	0,000	0,000	0,000E+0	0,000E+0
12,427	0,000	0,000	0,000E+0	0,000E+0
12,627	0,000	0,000	0,000E+0	0,000E+0
12,827	0,000	0,000	0,000E+0	0,000E+0
