Time [s]	I_Fonte[A]	I_SP[A]	V_Fonte[V]	V_SP[V]
0,000	0,000	0,140	0,000E+0	1,500E+1
0,002	0,000	0,140	3,000E-1	1,500E+1
0,202	0,000	0,140	3,000E-1	1,500E+1
0,401	0,000	0,140	3,000E-1	1,500E+1
0,602	0,000	0,140	3,000E-1	1,500E+1
0,802	0,000	0,140	3,000E-1	1,500E+1
1,003	0,000	0,140	3,000E-1	1,500E+1
1,205	0,000	0,140	3,000E-1	1,500E+1
1,405	0,000	0,140	3,000E-1	1,500E+1
1,605	0,000	0,140	3,000E-1	1,500E+1
1,805	0,000	0,140	3,000E-1	1,500E+1
2,006	0,000	0,140	3,000E-1	1,500E+1
2,207	0,000	0,140	3,000E-1	1,500E+1
2,408	0,000	0,140	3,000E-1	1,500E+1
2,609	0,000	0,140	3,000E-1	1,500E+1
2,809	0,000	0,140	3,000E-1	1,500E+1
3,009	0,000	0,140	3,000E-1	1,500E+1
3,210	0,000	0,140	3,000E-1	1,500E+1
3,409	0,000	0,140	3,000E-1	1,500E+1
3,610	0,000	0,140	3,000E-1	1,500E+1
3,810	0,000	0,140	3,000E-1	1,500E+1
4,009	0,000	0,140	3,000E-1	1,500E+1
4,210	0,000	0,140	3,000E-1	1,500E+1
4,411	0,000	0,140	3,000E-1	1,500E+1
4,612	0,000	0,140	3,000E-1	1,500E+1
4,813	0,000	0,140	3,000E-1	1,500E+1
5,013	0,000	0,140	3,000E-1	1,500E+1
5,214	0,000	0,140	3,000E-1	1,500E+1
5,415	0,000	0,140	3,000E-1	1,500E+1
5,615	0,000	0,140	3,000E-1	1,500E+1
5,815	0,000	0,140	3,000E-1	1,500E+1
6,015	0,000	0,140	3,000E-1	1,500E+1
6,215	0,000	0,140	3,000E-1	1,500E+1
6,415	0,000	0,140	3,000E-1	1,500E+1
6,616	0,000	0,140	3,000E-1	1,500E+1
6,816	0,000	0,140	3,000E-1	1,500E+1
7,016	0,000	0,140	3,000E-1	1,500E+1
7,216	0,000	0,140	3,000E-1	1,500E+1
7,417	0,000	0,140	3,000E-1	1,500E+1
7,617	0,000	0,140	3,000E-1	1,500E+1
7,818	0,000	0,140	3,000E-1	1,500E+1
8,018	0,000	0,140	3,000E-1	1,500E+1
8,219	0,000	0,140	3,000E-1	1,500E+1
8,419	0,000	0,140	3,000E-1	1,500E+1
8,620	0,000	0,140	3,000E-1	1,500E+1
8,821	0,000	0,140	3,000E-1	1,500E+1
9,021	0,000	0,140	3,000E-1	1,500E+1
9,222	0,000	0,140	3,000E-1	1,500E+1
9,421	0,000	0,140	3,000E-1	1,500E+1
9,622	0,000	0,140	3,000E-1	1,500E+1
9,822	0,000	0,140	3,000E-1	1,500E+1
10,022	0,000	0,140	3,000E-1	1,500E+1
