Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	0,000	0,000000E+0
1,000	19,485	20,263	0,000000E+0
1,000	19,486	20,173	0,000000E+0
2,000	19,487	20,143	0,000000E+0
4,000	19,486	20,141	1,000000E+1
5,000	19,488	20,538	1,000000E+1
6,000	19,488	20,035	1,000000E+1
7,000	19,486	20,107	1,000000E+1
8,000	19,487	20,485	1,000000E+1
9,000	19,487	20,026	1,000000E+1
10,000	19,486	20,029	1,000000E+1
11,001	19,489	20,026	1,000000E+1
12,001	19,488	20,035	1,000000E+1
13,001	19,489	20,083	1,000000E+1
14,001	19,487	20,029	1,000000E+1
15,001	19,487	20,081	1,000000E+1
16,001	19,489	20,040	1,000000E+1
17,001	19,489	20,036	1,000000E+1
18,001	19,492	20,018	1,000000E+1
19,001	19,497	20,019	1,000000E+1
20,001	19,494	20,022	1,000000E+1
21,001	19,490	20,018	1,000000E+1
22,001	19,489	20,017	1,000000E+1
23,001	19,490	20,011	1,000000E+1
24,001	19,491	20,017	1,000000E+1
25,001	19,492	20,016	1,000000E+1
26,001	19,489	20,026	1,000000E+1
27,001	19,490	20,059	1,000000E+1
28,001	19,491	20,024	1,000000E+1
29,001	19,493	20,021	1,000000E+1
30,001	19,492	20,021	1,000000E+1
31,001	19,492	20,032	1,000000E+1
32,001	19,492	20,019	1,000000E+1
33,002	19,491	20,023	1,000000E+1
34,002	19,492	20,019	1,000000E+1
35,002	19,493	20,031	1,000000E+1
36,002	19,493	20,015	1,000000E+1
37,002	19,493	20,026	1,000000E+1
38,002	19,493	20,020	1,000000E+1
39,002	19,497	20,021	1,000000E+1
40,002	19,496	20,016	1,000000E+1
41,002	19,498	20,020	1,000000E+1
42,002	19,496	20,017	1,000000E+1
43,002	19,497	20,014	1,000000E+1
44,002	19,499	20,016	1,000000E+1
45,002	19,497	20,021	1,000000E+1
46,002	19,495	20,023	1,000000E+1
47,002	19,498	20,021	1,000000E+1
48,002	19,497	20,024	1,000000E+1
49,002	19,496	20,024	1,000000E+1
50,002	19,499	20,027	1,000000E+1
51,002	19,502	20,048	1,000000E+1
52,002	19,499	20,035	1,000000E+1
53,002	19,498	20,029	1,000000E+1
54,002	19,500	20,044	1,000000E+1
55,002	19,499	20,029	1,000000E+1
56,002	19,501	20,050	1,000000E+1
57,002	19,504	20,054	1,000000E+1
58,002	19,502	20,036	1,000000E+1
59,003	19,502	20,031	1,000000E+1
60,003	19,502	20,044	1,000000E+1
61,003	19,503	20,050	1,000000E+1
62,003	19,503	20,039	1,000000E+1
63,003	19,507	20,050	1,000000E+1
64,003	19,505	20,069	1,000000E+1
65,003	19,503	20,169	1,000000E+1
66,003	19,507	20,096	1,000000E+1
67,003	19,506	20,075	1,000000E+1
68,003	19,505	20,067	1,000000E+1
69,003	19,508	20,060	1,000000E+1
70,003	19,510	20,068	1,000000E+1
71,003	19,510	20,060	1,000000E+1
72,003	19,509	20,074	1,000000E+1
73,003	19,510	20,060	1,000000E+1
74,003	19,511	20,358	1,000000E+1
75,003	19,511	20,064	1,000000E+1
76,003	19,514	20,071	1,000000E+1
77,003	19,517	20,248	1,000000E+1
78,003	19,518	20,181	1,000000E+1
79,003	19,518	20,226	1,000000E+1
80,003	19,516	20,175	1,000000E+1
81,003	19,519	20,103	1,000000E+1
82,003	19,521	20,139	1,000000E+1
83,003	19,519	20,180	1,000000E+1
84,003	19,523	20,150	1,000000E+1
85,004	19,522	20,190	1,000000E+1
86,004	19,521	20,209	1,000000E+1
87,004	19,522	20,207	1,000000E+1
88,004	19,523	20,210	1,000000E+1
89,004	19,524	21,023	1,000000E+1
90,004	19,527	20,167	1,000000E+1
91,004	19,526	20,192	1,000000E+1
92,004	19,528	20,390	1,000000E+1
93,004	19,527	20,266	1,000000E+1
94,004	19,530	20,463	1,000000E+1
95,004	19,531	21,003	1,000000E+1
96,004	19,534	20,239	1,000000E+1
97,004	19,533	20,108	1,000000E+1
98,004	19,532	20,130	1,000000E+1
99,004	19,535	20,110	1,000000E+1
100,004	19,536	20,107	1,000000E+1
101,004	19,535	20,115	1,000000E+1
102,004	19,536	20,111	1,000000E+1
103,004	19,537	20,117	1,000000E+1
104,004	19,538	20,116	1,000000E+1
105,004	19,541	20,118	1,000000E+1
106,004	19,543	20,120	1,000000E+1
107,004	19,543	20,116	1,000000E+1
108,004	19,545	20,115	1,000000E+1
109,004	19,546	20,119	1,000000E+1
