Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	0,000	0,000000E+0
1,000	27,600	27,359	0,000000E+0
2,000	27,602	27,359	0,000000E+0
3,000	27,602	27,369	0,000000E+0
4,000	27,602	27,355	5,000000E+0
5,000	27,598	27,355	5,000000E+0
6,000	27,600	27,355	5,000000E+0
7,000	27,600	27,365	5,000000E+0
8,001	27,599	27,364	5,000000E+0
9,001	27,597	27,359	5,000000E+0
10,001	27,600	27,376	5,000000E+0
11,001	27,598	27,390	5,000000E+0
12,001	27,595	27,381	5,000000E+0
13,001	27,593	27,361	5,000000E+0
14,001	27,590	27,375	5,000000E+0
15,001	27,590	27,371	5,000000E+0
16,001	27,592	27,385	5,000000E+0
17,001	27,593	27,380	5,000000E+0
18,001	27,591	27,373	5,000000E+0
19,001	27,592	27,371	5,000000E+0
20,001	27,594	27,356	5,000000E+0
21,001	27,589	27,353	5,000000E+0
22,001	27,590	27,340	5,000000E+0
23,001	27,590	27,339	5,000000E+0
24,002	27,588	27,358	5,000000E+0
25,002	27,586	27,357	5,000000E+0
26,002	27,585	27,355	5,000000E+0
27,002	27,580	27,357	5,000000E+0
28,002	27,583	27,364	5,000000E+0
29,002	27,583	27,368	5,000000E+0
30,002	27,578	27,362	5,000000E+0
31,002	27,578	27,371	5,000000E+0
32,002	27,580	27,364	5,000000E+0
33,002	27,580	27,356	5,000000E+0
34,002	27,580	27,350	5,000000E+0
35,002	27,580	27,357	5,000000E+0
36,002	27,579	27,349	5,000000E+0
37,003	27,576	27,354	5,000000E+0
38,003	27,581	27,344	5,000000E+0
39,003	27,580	27,341	5,000000E+0
40,003	27,577	27,351	5,000000E+0
41,003	27,578	27,355	5,000000E+0
42,003	27,580	27,344	5,000000E+0
43,003	27,582	27,349	5,000000E+0
44,003	27,578	27,337	5,000000E+0
45,003	27,579	27,333	5,000000E+0
46,003	27,581	27,337	5,000000E+0
47,003	27,579	27,336	5,000000E+0
48,003	27,577	27,346	5,000000E+0
49,003	27,578	27,341	5,000000E+0
50,004	27,579	27,339	5,000000E+0
51,004	27,581	27,338	5,000000E+0
52,004	27,576	27,351	5,000000E+0
53,004	27,579	27,339	5,000000E+0
54,004	27,575	27,346	5,000000E+0
55,004	27,579	27,357	5,000000E+0
56,004	27,577	27,344	5,000000E+0
57,004	27,575	27,334	5,000000E+0
58,004	27,573	27,344	5,000000E+0
59,004	27,573	27,342	5,000000E+0
60,004	27,573	27,346	5,000000E+0
61,004	27,576	27,345	5,000000E+0
62,004	27,578	27,353	5,000000E+0
63,004	27,573	27,345	5,000000E+0
64,004	27,573	27,347	5,000000E+0
65,005	27,571	27,355	5,000000E+0
66,005	27,571	27,350	5,000000E+0
67,005	27,571	27,358	5,000000E+0
68,005	27,574	27,353	5,000000E+0
69,005	27,574	27,336	5,000000E+0
70,005	27,576	27,338	5,000000E+0
71,005	27,578	27,341	5,000000E+0
72,005	27,576	27,338	5,000000E+0
73,005	27,576	27,352	5,000000E+0
74,005	27,579	27,365	5,000000E+0
75,005	27,576	27,366	5,000000E+0
76,005	27,578	27,362	5,000000E+0
77,005	27,579	27,356	5,000000E+0
78,006	27,574	27,372	5,000000E+0
79,006	27,575	27,357	5,000000E+0
80,006	27,574	27,352	5,000000E+0
81,006	27,573	27,354	5,000000E+0
82,006	27,574	27,363	5,000000E+0
83,006	27,573	27,373	5,000000E+0
84,006	27,574	27,361	5,000000E+0
