Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	0,000	0,000000E+0
1,000	19,443	20,555	0,000000E+0
2,000	19,443	21,040	0,000000E+0
3,000	19,442	20,040	0,000000E+0
4,000	19,442	19,926	0,000000E+0
5,000	19,443	20,066	0,000000E+0
6,000	19,443	20,792	0,000000E+0
7,000	19,444	21,728	0,000000E+0
8,000	19,442	20,173	0,000000E+0
9,000	19,444	20,175	0,000000E+0
10,000	19,445	20,000	0,000000E+0
11,000	19,445	19,912	0,000000E+0
12,000	19,444	19,921	0,000000E+0
13,001	19,445	20,758	0,000000E+0
14,001	19,446	19,939	0,000000E+0
15,001	19,445	19,898	0,000000E+0
16,001	19,447	19,973	0,000000E+0
17,001	19,446	21,062	0,000000E+0
18,001	19,446	20,132	0,000000E+0
