Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	28,000	9,900000E+1
1,000	26,491	28,000	9,900000E+1
2,000	26,483	28,000	9,900000E+1
3,000	26,485	28,000	9,900000E+1
4,000	26,480	28,000	9,900000E+1
5,000	26,471	28,000	9,900000E+1
6,000	26,461	28,000	9,900000E+1
7,000	26,455	28,000	9,900000E+1
8,001	26,463	28,000	9,900000E+1
9,001	26,456	28,000	9,900000E+1
10,001	26,446	28,000	9,900000E+1
11,001	26,441	28,000	9,900000E+1
12,001	26,436	28,000	9,900000E+1
13,001	26,426	28,000	9,900000E+1
14,001	26,421	28,000	9,900000E+1
15,001	26,428	28,000	9,900000E+1
16,001	26,448	28,000	9,900000E+1
17,001	26,452	28,000	9,900000E+1
18,001	26,455	28,000	9,900000E+1
19,001	26,474	28,000	9,900000E+1
20,001	26,477	28,000	9,900000E+1
21,001	26,501	28,000	9,900000E+1
22,001	26,514	28,000	9,900000E+1
23,001	26,520	28,000	9,900000E+1
24,001	26,521	28,000	9,900000E+1
25,001	26,527	28,000	9,900000E+1
26,001	26,540	28,000	9,900000E+1
27,001	26,564	28,000	-1,000000E+2
28,002	26,606	28,000	-1,000000E+2
29,002	26,610	28,000	-1,000000E+2
30,002	26,626	28,000	-1,000000E+2
31,002	26,635	28,000	-1,000000E+2
32,002	26,647	28,000	-1,000000E+2
33,002	26,642	28,000	-1,000000E+2
34,002	26,644	28,000	-1,000000E+2
35,002	26,629	28,000	-1,000000E+2
36,002	26,633	28,000	-1,000000E+2
37,002	26,638	28,000	-1,000000E+2
38,002	26,651	28,000	-1,000000E+2
