Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	31,613	9,900000E+1
1,000	25,157	31,613	9,900000E+1
2,000	25,156	31,613	9,900000E+1
3,000	25,155	31,613	9,900000E+1
4,000	25,155	31,613	9,900000E+1
4,000	25,155	31,613	9,900000E+1
6,001	25,155	31,613	9,900000E+1
7,001	25,155	31,613	9,900000E+1
8,001	25,157	31,613	9,900000E+1
9,001	25,160	31,613	9,900000E+1
10,001	25,158	31,613	-1,000000E+2
11,001	25,160	31,613	-1,000000E+2
12,001	25,161	31,613	-1,000000E+2
13,001	25,159	31,613	-1,000000E+2
14,001	25,159	31,613	-1,000000E+2
15,001	25,158	31,613	-1,000000E+2
16,001	25,160	31,613	-1,000000E+2
17,001	25,160	31,613	-1,000000E+2
18,001	25,164	31,613	-1,000000E+2
19,001	25,163	31,613	-1,000000E+2
20,001	25,162	31,613	-1,000000E+2
21,001	25,162	31,613	-1,000000E+2
22,001	25,163	31,613	-1,000000E+2
23,001	25,163	31,613	-1,000000E+2
24,002	25,164	31,613	-1,000000E+2
25,002	25,163	31,613	-1,000000E+2
26,002	25,165	31,613	-1,000000E+2
27,002	25,165	31,613	-1,000000E+2
28,002	25,163	31,613	-1,000000E+2
29,002	25,163	31,613	-1,000000E+2
30,002	25,165	31,613	-1,000000E+2
31,002	25,166	31,613	-1,000000E+2
32,002	25,169	31,613	-1,000000E+2
36,463	25,169	31,613	-1,000000E+2
36,463	25,169	31,613	-1,000000E+2
37,463	25,169	31,613	-1,000000E+2
39,464	25,170	31,613	-1,000000E+2
39,464	25,167	31,613	-1,000000E+2
41,464	25,169	31,613	-1,000000E+2
42,464	25,168	31,613	-1,000000E+2
43,464	25,168	31,613	-1,000000E+2
44,464	25,169	31,613	-1,000000E+2
45,464	25,172	31,613	-1,000000E+2
46,464	25,172	31,613	-1,000000E+2
47,464	25,169	31,613	-1,000000E+2
48,464	25,167	31,613	-1,000000E+2
49,464	25,168	31,613	-1,000000E+2
50,464	25,166	31,613	-1,000000E+2
51,464	25,169	31,613	-1,000000E+2
52,464	25,169	31,613	-1,000000E+2
53,464	25,166	31,613	-1,000000E+2
54,464	25,168	31,613	-1,000000E+2
55,464	25,170	31,613	-1,000000E+2
56,465	25,172	31,613	-1,000000E+2
57,465	25,169	31,613	-1,000000E+2
58,465	25,172	31,613	-1,000000E+2
59,465	25,171	31,613	-1,000000E+2
