Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	31,613	9,900000E+1
1,000	25,252	31,613	9,900000E+1
2,000	25,251	31,613	9,900000E+1
3,000	25,253	31,613	9,900000E+1
4,000	25,257	31,613	9,900000E+1
5,000	25,259	31,613	9,900000E+1
6,000	25,261	31,613	9,900000E+1
7,000	25,262	31,613	9,900000E+1
8,000	25,262	31,613	9,900000E+1
9,001	25,258	31,613	9,900000E+1
10,001	25,255	31,613	9,900000E+1
11,001	25,257	31,613	9,900000E+1
12,001	25,255	31,613	9,900000E+1
13,001	25,257	31,613	9,900000E+1
14,001	25,253	31,613	9,900000E+1
15,001	25,250	31,613	9,900000E+1
16,001	25,251	31,613	9,900000E+1
17,001	25,254	31,613	9,900000E+1
18,001	25,257	31,613	9,900000E+1
19,001	25,256	31,613	9,900000E+1
20,001	25,255	31,613	9,900000E+1
21,001	25,254	31,613	9,900000E+1
22,001	25,253	31,613	9,900000E+1
23,002	25,255	31,613	9,900000E+1
24,002	25,258	31,613	9,900000E+1
25,002	25,257	31,613	9,900000E+1
26,002	25,261	31,613	9,900000E+1
27,002	25,267	31,613	9,900000E+1
28,002	25,264	31,613	9,900000E+1
29,002	25,262	31,613	9,900000E+1
30,002	25,269	31,613	9,900000E+1
31,002	25,276	31,613	9,900000E+1
32,002	25,278	31,613	9,900000E+1
33,002	25,279	31,613	9,900000E+1
34,002	25,282	31,613	9,900000E+1
35,002	25,282	31,613	9,900000E+1
36,002	25,285	31,613	9,900000E+1
37,002	25,289	31,613	9,900000E+1
38,002	25,306	31,613	-1,000000E+2
39,002	25,332	31,613	-1,000000E+2
40,002	25,367	31,613	-1,000000E+2
41,002	25,363	31,613	-1,000000E+2
42,002	25,386	31,613	-1,000000E+2
43,002	25,404	31,613	-1,000000E+2
44,002	25,413	31,613	-1,000000E+2
45,002	25,407	31,613	-1,000000E+2
46,003	25,422	31,613	-1,000000E+2
47,003	25,445	31,613	-1,000000E+2
48,003	25,472	31,613	-1,000000E+2
49,003	25,477	31,613	-1,000000E+2
50,003	25,470	31,613	-1,000000E+2
51,003	25,477	31,613	-1,000000E+2
52,003	25,494	31,613	-1,000000E+2
53,003	25,498	31,613	-1,000000E+2
54,003	25,504	31,613	-1,000000E+2
55,003	25,492	31,613	-1,000000E+2
56,003	25,506	31,613	-1,000000E+2
