Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	28,000	9,990000E+1
1,000	28,323	28,000	9,990000E+1
2,000	28,341	28,000	9,990000E+1
3,000	28,300	28,000	9,990000E+1
4,000	28,271	28,000	9,990000E+1
5,000	28,267	28,000	9,990000E+1
6,000	28,270	28,000	9,990000E+1
7,000	28,319	28,000	9,990000E+1
8,001	28,361	28,000	9,990000E+1
9,001	28,391	28,000	9,990000E+1
10,001	28,352	28,000	9,990000E+1
11,001	28,418	28,000	9,990000E+1
12,001	28,509	28,000	9,990000E+1
13,001	28,521	28,000	9,990000E+1
14,001	28,540	28,000	9,990000E+1
15,001	28,506	28,000	9,990000E+1
16,001	28,545	28,000	9,990000E+1
17,001	28,501	28,000	9,990000E+1
18,001	28,502	28,000	9,990000E+1
19,001	28,526	28,000	9,990000E+1
20,001	28,514	28,000	9,990000E+1
21,001	28,525	28,000	9,990000E+1
22,001	28,480	28,000	9,990000E+1
23,002	28,503	28,000	9,990000E+1
24,002	28,531	28,000	9,990000E+1
25,002	28,492	28,000	9,990000E+1
26,002	28,471	28,000	9,990000E+1
27,002	28,512	28,000	9,990000E+1
28,002	28,562	28,000	9,990000E+1
29,002	28,524	28,000	9,990000E+1
30,002	28,496	28,000	9,990000E+1
31,002	28,454	28,000	9,990000E+1
32,002	28,419	28,000	9,990000E+1
33,002	28,419	28,000	9,990000E+1
34,002	28,470	28,000	9,990000E+1
35,002	28,488	28,000	9,990000E+1
36,002	28,482	28,000	9,990000E+1
37,002	28,480	28,000	9,990000E+1
38,002	28,488	28,000	9,990000E+1
39,002	28,476	28,000	9,990000E+1
40,002	28,476	28,000	9,990000E+1
41,002	28,428	28,000	9,990000E+1
42,002	28,424	28,000	9,990000E+1
43,002	28,381	28,000	9,990000E+1
44,002	28,416	28,000	9,990000E+1
45,002	28,431	28,000	9,990000E+1
46,002	28,419	28,000	9,990000E+1
47,003	28,386	28,000	9,990000E+1
48,003	28,386	28,000	9,990000E+1
49,003	28,412	28,000	9,990000E+1
50,003	28,377	28,000	9,990000E+1
51,003	28,335	28,000	9,990000E+1
52,003	28,341	28,000	9,990000E+1
53,003	28,356	28,000	9,990000E+1
54,003	28,355	28,000	9,990000E+1
55,003	28,357	28,000	9,990000E+1
56,003	28,387	28,000	9,990000E+1
57,003	28,428	28,000	9,990000E+1
58,003	28,417	28,000	9,990000E+1
59,003	28,410	28,000	9,990000E+1
60,003	28,428	28,000	9,990000E+1
61,003	28,437	28,000	9,990000E+1
62,003	28,473	28,000	9,990000E+1
63,003	28,489	28,000	9,990000E+1
64,003	28,548	28,000	9,990000E+1
65,004	28,515	28,000	9,990000E+1
66,004	28,514	28,000	9,990000E+1
67,004	28,527	28,000	9,990000E+1
68,004	28,516	28,000	9,990000E+1
69,004	28,511	28,000	9,990000E+1
70,004	28,523	28,000	9,990000E+1
71,004	28,510	28,000	9,990000E+1
72,004	28,551	28,000	9,990000E+1
73,004	28,551	28,000	9,990000E+1
74,004	28,575	28,000	9,990000E+1
75,004	28,582	28,000	9,990000E+1
76,004	28,546	28,000	9,990000E+1
77,004	28,488	28,000	9,990000E+1
78,004	28,519	28,000	9,990000E+1
79,005	28,517	28,000	9,990000E+1
80,005	28,514	28,000	9,990000E+1
81,005	28,579	28,000	9,990000E+1
82,005	28,587	28,000	9,990000E+1
83,005	28,590	28,000	9,990000E+1
84,005	28,574	28,000	9,990000E+1
85,005	28,520	28,000	9,990000E+1
86,005	28,511	28,000	9,990000E+1
87,005	28,542	28,000	9,990000E+1
88,005	28,518	28,000	9,990000E+1
89,005	28,531	28,000	9,990000E+1
90,005	28,486	28,000	9,990000E+1
91,005	28,493	28,000	9,990000E+1
92,005	28,474	28,000	9,990000E+1
93,005	28,481	28,000	9,990000E+1
94,005	28,441	28,000	9,990000E+1
95,006	28,465	28,000	9,990000E+1
96,006	28,449	28,000	9,990000E+1
97,006	28,435	28,000	9,990000E+1
98,006	28,410	28,000	9,990000E+1
99,006	28,429	28,000	9,990000E+1
100,006	28,419	28,000	9,990000E+1
101,006	28,444	28,000	9,990000E+1
102,006	28,450	28,000	9,990000E+1
103,006	28,469	28,000	9,990000E+1
104,006	28,483	28,000	9,990000E+1
105,006	28,515	28,000	9,990000E+1
106,006	28,474	28,000	9,990000E+1
107,006	28,532	28,000	9,990000E+1
108,006	28,514	28,000	9,990000E+1
109,006	28,469	28,000	9,990000E+1
110,006	28,418	28,000	9,990000E+1
111,007	28,387	28,000	9,990000E+1
112,007	28,365	28,000	9,990000E+1
113,007	28,367	28,000	9,990000E+1
114,007	28,346	28,000	9,990000E+1
115,007	28,303	28,000	9,990000E+1
116,007	28,309	28,000	9,990000E+1
117,007	28,306	28,000	9,990000E+1
118,007	28,334	28,000	9,990000E+1
119,007	28,332	28,000	9,990000E+1
120,007	28,306	28,000	9,990000E+1
121,007	28,306	28,000	9,990000E+1
122,007	28,305	28,000	9,990000E+1
123,007	28,302	28,000	9,990000E+1
124,007	28,273	28,000	9,990000E+1
125,007	28,292	28,000	9,990000E+1
126,008	28,276	28,000	9,990000E+1
127,008	28,262	28,000	9,990000E+1
128,008	28,273	28,000	9,990000E+1
129,008	28,258	28,000	9,990000E+1
130,008	28,295	28,000	9,990000E+1
131,008	28,293	28,000	9,990000E+1
