Time [s]	Temperature CH4 [ºC]	Temperature CH9 [ºC]	PWM
0,000	0,000	28,000	9,990000E+1
1,000	28,449	28,000	9,990000E+1
2,000	28,446	28,000	9,990000E+1
3,000	28,417	28,000	9,990000E+1
4,000	28,393	28,000	9,990000E+1
5,000	28,372	28,000	9,990000E+1
6,000	28,381	28,000	9,990000E+1
7,000	28,357	28,000	9,990000E+1
8,000	28,326	28,000	1,000000E-2
9,000	28,317	28,000	1,000000E-2
10,001	28,297	28,000	1,000000E-2
11,001	28,269	28,000	1,000000E-2
12,001	28,248	28,000	1,000000E-2
13,001	28,268	28,000	1,000000E-2
14,001	28,322	28,000	1,000000E-2
15,001	28,303	28,000	1,000000E-2
16,001	28,287	28,000	1,000000E-2
17,001	28,287	28,000	1,000000E-2
18,001	28,282	28,000	1,590889E+0
19,001	28,288	28,000	1,590889E+0
20,001	28,312	28,000	1,590889E+0
21,001	28,311	28,000	1,590889E+0
22,001	28,305	28,000	1,590889E+0
23,001	28,320	28,000	1,590889E+0
24,001	28,320	28,000	1,590889E+0
25,001	28,357	28,000	1,590889E+0
26,001	28,372	28,000	1,590889E+0
27,001	28,398	28,000	1,590889E+0
28,001	28,383	28,000	1,000000E-2
29,001	28,350	28,000	1,000000E-2
30,001	28,356	28,000	1,000000E-2
31,002	28,414	28,000	1,000000E-2
32,002	28,403	28,000	1,000000E-2
33,002	28,394	28,000	1,000000E-2
34,002	28,415	28,000	1,000000E-2
35,002	28,369	28,000	1,000000E-2
36,002	28,333	28,000	1,000000E-2
37,002	28,321	28,000	1,000000E-2
38,002	28,353	28,000	1,006662E+0
39,002	28,331	28,000	1,006662E+0
40,002	28,328	28,000	1,006662E+0
41,002	28,346	28,000	1,006662E+0
42,002	28,322	28,000	1,006662E+0
43,002	28,314	28,000	1,006662E+0
44,002	28,337	28,000	1,006662E+0
45,002	28,329	28,000	1,006662E+0
46,002	28,365	28,000	1,006662E+0
47,002	28,383	28,000	1,006662E+0
48,002	28,404	28,000	1,000000E-2
49,002	28,409	28,000	1,000000E-2
50,002	28,410	28,000	1,000000E-2
51,002	28,393	28,000	1,000000E-2
52,003	28,451	28,000	1,000000E-2
53,003	28,441	28,000	1,000000E-2
54,003	28,434	28,000	1,000000E-2
55,003	28,480	28,000	1,000000E-2
56,003	28,505	28,000	1,000000E-2
57,003	28,489	28,000	1,000000E-2
58,003	28,479	28,000	1,000000E-2
59,003	28,447	28,000	1,000000E-2
60,003	28,428	28,000	1,000000E-2
61,003	28,398	28,000	1,000000E-2
62,003	28,378	28,000	1,000000E-2
63,003	28,393	28,000	1,000000E-2
64,003	28,367	28,000	1,000000E-2
65,003	28,410	28,000	1,000000E-2
66,003	28,436	28,000	1,000000E-2
67,003	28,441	28,000	1,000000E-2
68,004	28,470	28,000	1,453687E-1
69,004	28,500	28,000	1,453687E-1
70,004	28,491	28,000	1,453687E-1
71,004	28,476	28,000	1,453687E-1
72,004	28,463	28,000	1,453687E-1
73,004	28,457	28,000	1,453687E-1
74,004	28,461	28,000	1,453687E-1
75,004	28,427	28,000	1,453687E-1
76,004	28,410	35,000	1,453687E-1
77,004	28,386	35,000	1,453687E-1
78,004	28,387	35,000	9,990000E+1
79,004	28,392	35,000	9,990000E+1
80,004	28,399	35,000	9,990000E+1
81,004	28,367	35,000	9,990000E+1
82,004	28,351	35,000	9,990000E+1
83,004	28,374	35,000	9,990000E+1
84,004	28,400	35,000	9,990000E+1
85,005	28,430	35,000	9,990000E+1
86,005	28,445	35,000	9,990000E+1
87,005	28,471	35,000	9,990000E+1
88,005	28,445	35,000	9,990000E+1
89,005	28,404	35,000	9,990000E+1
90,005	28,373	35,000	9,990000E+1
91,005	28,384	35,000	9,990000E+1
92,005	28,389	35,000	9,990000E+1
93,005	28,386	35,000	9,990000E+1
94,005	28,362	35,000	9,990000E+1
95,005	28,403	35,000	9,990000E+1
96,005	28,385	35,000	9,990000E+1
97,005	28,370	35,000	9,990000E+1
98,005	28,371	35,000	9,990000E+1
99,005	28,335	35,000	9,990000E+1
100,005	28,326	35,000	9,990000E+1
101,006	28,302	35,000	9,990000E+1
102,006	28,364	35,000	9,990000E+1
103,006	28,373	35,000	9,990000E+1
104,006	28,406	35,000	9,990000E+1
105,006	28,428	35,000	9,990000E+1
106,006	28,413	35,000	9,990000E+1
107,006	28,460	35,000	9,990000E+1
108,006	28,459	35,000	9,948232E+1
109,006	28,444	35,000	9,948232E+1
110,006	28,467	35,000	9,948232E+1
111,006	28,479	35,000	9,948232E+1
112,006	28,483	35,000	9,948232E+1
113,006	28,492	35,000	9,948232E+1
114,006	28,511	35,000	9,948232E+1
115,006	28,470	35,000	9,948232E+1
116,007	28,459	35,000	9,948232E+1
117,007	28,416	35,000	9,948232E+1
118,007	28,407	35,000	9,990000E+1
